Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,ECR error ,Gate time (ns),Operational,measure time (ns),x time (ns),rz time (ns),i time (ns),sx time (ns),reset time (ns)
37,219.70286951404736,246.63036468574617,5.00670658817261,-0.3066691055853324,0.1623,0.2104,0.1141999999999999,4000,0.0526674128538317,0,0.0526674128538317,0.0526674128538317,37_52:0.1083422798787766;37_38:1,37_52:660;37_38:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
38,165.45053289168072,26.15131238312153,4.825479711132164,-0.3106868036017324,0.0799,0.0814,0.0784,4000,0.0003530778035402,0,0.0003530778035402,0.0003530778035402,38_39:0.009066946131895126,38_39:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
39,234.0266804138157,103.32773295980522,5.01931842411795,-0.307076974162903,0.144,0.1608,0.1272,4000,0.0024493201795334,0,0.0024493201795334,0.0024493201795334,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
40,140.4824957518139,254.2892124871948,5.084622535041974,-0.3061975887621035,0.0129,0.01,0.0158,4000,0.0002749590876464,0,0.0002749590876464,0.0002749590876464,40_39:0.01155258086032987;40_41:0.006122178185404864,40_39:660;40_41:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
41,167.63187990039248,196.685045045188,4.953485515838808,-0.3083311558680511,0.0101999999999999,0.0113999999999999,0.009,4000,0.0003520685790132,0,0.0003520685790132,0.0003520685790132,41_53:0.008564407859252554;41_42:0.006516553537834813,41_53:660;41_42:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
42,233.34370272996424,224.82535774760413,5.091911877795437,-0.3062199111611784,0.0246999999999999,0.0266,0.0228,4000,0.0001974921438713,0,0.0001974921438713,0.0001974921438713,42_43:1,42_43:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
43,221.2570093902742,278.8596992789779,4.869723697163033,-0.3094094192800075,0.4733333333333334,0.76,0.1866666666666666,4000,0.0002060961898272,0,0.0002060961898272,0.0002060961898272,43_44:1,43_44:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
44,332.1048619561449,79.85939775377601,5.023550523098626,-0.3073323285282485,0.0121,0.0118,0.0124,4000,0.0002900408947127,0,0.0002900408947127,0.0002900408947127,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
45,211.22361783976496,122.77222388291104,5.112376709951662,-0.3050764975563755,0.0203999999999999,0.0215999999999999,0.0192,4000,0.0003200399585692,0,0.0003200399585692,0.0003200399585692,45_44:0.0065724930148143845;45_46:0.01601941905719645,45_44:660;45_46:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
46,199.5261594583545,215.8871483787848,4.966519848820972,-0.3079705749190589,0.0066999999999999,0.009,0.0043999999999999,4000,0.0001788698389169,0,0.0001788698389169,0.0001788698389169,46_47:1,46_47:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
47,351.3819512505171,274.3161684610636,4.878199292409942,-0.3098062819379201,0.4733333333333334,0.7366666666666667,0.21,4000,0.0001453248138354,0,0.0001453248138354,0.0001453248138354,47_35:1,47_35:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4140.0
48,311.7522896162749,156.79061193954306,5.023745417265444,-0.306047701481856,0.0221,0.0252,0.019,4000,0.0005094184346533,0,0.0005094184346533,0.0005094184346533,48_47:1,48_47:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
49,169.8910781474815,32.37924172454963,5.095211742541425,0.0,0.0441,0.0454,0.0427999999999999,4000,0.0009790359025842,0,0.0009790359025842,0.0009790359025842,49_48:0.01454132996191182,49_48:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
50,168.51053223538088,17.408489631704086,5.186403976169289,-0.3039883515773636,0.0121,0.0106,0.0136,4000,0.0008020461901322,0,0.0008020461901322,0.0008020461901322,50_51:0.021666410874955494;50_49:0.03490420965903701,50_51:660;50_49:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
51,214.08609908258893,185.1041694792092,5.027637003029519,-0.3057282060327941,0.0472,0.0464,0.048,4000,0.0002238048012701,0,0.0002238048012701,0.0002238048012701,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
52,125.80170227942833,42.045788857742565,5.189373647610425,-0.3036765490718706,0.0324999999999999,0.0306,0.0343999999999999,4000,0.000384286167129,0,0.000384286167129,0.000384286167129,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
53,372.4203888155333,398.8664298103928,4.843224741775568,-0.3085981049843937,0.0771999999999999,0.0738,0.0806,4000,0.0001568875600901,0,0.0001568875600901,0.0001568875600901,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
54,127.9829855096017,239.5514103683641,5.192104648586887,-0.3033387374438956,0.0474999999999999,0.0532,0.0417999999999999,4000,0.0003101467353935,0,0.0003101467353935,0.0003101467353935,54_45:0.009164389315008459,54_45:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
55,167.04430212456523,58.89779660103213,5.216653717169299,-0.3040260702188013,0.0097,0.0106,0.0088,4000,0.0003720853595838,0,0.0003720853595838,0.0003720853595838,55_49:0.01985103712562747,55_49:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
56,76.2620853309202,27.84091590790424,5.134762086029973,-0.3462174906240536,0.0834999999999999,0.0608,0.1061999999999999,4000,0.0008355839357778,0,0.0008355839357778,0.0008355839357778,56_52:0.01806700261337915;56_57:1,56_52:660;56_57:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
57,303.15635679970563,18.885480585467548,4.768722659417858,-0.3084464586407456,0.241,0.1363999999999999,0.3456,4000,0.0096476422091702,0,0.0096476422091702,0.0096476422091702,,,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
58,135.29015013890728,36.48104514846808,4.916418307747936,-0.3089545931879817,0.0490999999999999,0.0466,0.0515999999999999,4000,0.0006865699300003,0,0.0006865699300003,0.0006865699300003,58_59:0.005488401478845162;58_57:0.033453761821762046,58_59:660;58_57:660,True,4000.0,59.99999999999999,0.0,59.99999999999999,59.99999999999999,4060.0
