Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),I error ,RZ error,SX error,X error,CZ error ,Gate time (ns),Operational,sx time (ns),measure time (ns),rz time (ns),x time (ns),i time (ns),reset time (ns)
55,138.28450411453937,224.499728496852,0,0,0.0970999999999999,0.0804,0.1138,1560,0.0003326267414028,0,0.0003326267414028,0.0003326267414028,55_54:0.003078180789459206;55_59:0.003828431534265042,55_54:68;55_59:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
56,161.84771388311614,195.18881678834595,0,0,0.0141,0.0188,0.0093999999999999,1560,0.0002205799942734,0,0.0002205799942734,0.0002205799942734,56_63:0.0062958414788594486;56_43:0.0023615755311947317,56_63:68;56_43:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
57,136.81301776524228,88.21037218277056,0,0,0.0075,0.0093999999999999,0.0056,1560,0.0002395458156833,0,0.0002395458156833,0.0002395458156833,57_67:0.007052689005567797;57_47:0.002901898548954923,57_67:68;57_47:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
58,141.3672184066926,122.50519404499644,0,0,0.0198,0.0275999999999999,0.012,1560,0.0004785438929698,0,0.0004785438929698,0.0004785438929698,58_51:0.002374130646145556;58_71:0.0019826007853042393,58_51:68;58_71:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
59,165.1931905122611,89.54474687849459,0,0,0.0648999999999999,0.0774,0.0524,1560,0.0004151226868371,0,0.0004151226868371,0.0004151226868371,59_55:0.003828431534265042;59_75:0.003918819374152477,59_55:68;59_75:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
60,117.33389134991351,40.384751770966965,0,0,0.0077,0.0135999999999999,0.0018,1560,0.0003227117906398,0,0.0003227117906398,0.0003227117906398,60_61:0.002067416157510299,60_61:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
61,198.68897142225987,119.88567616485273,0,0,0.0126999999999999,0.0195999999999999,0.0058,1560,0.0001675183309736,0,0.0001675183309736,0.0001675183309736,61_76:0.002597011348695083;61_62:0.0025457620572848227;61_60:0.002067416157510299,61_76:68;61_62:68;61_60:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
62,131.94142146799678,25.95261527984604,0,0,0.0129,0.012,0.0138,1560,0.0002836804838379,0,0.0002836804838379,0.0002836804838379,62_63:0.012156213425880857;62_61:0.0025457620572848227,62_63:68;62_61:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
63,166.3375559206377,14.432203061139594,0,0,0.0108999999999999,0.0143999999999999,0.0074,1560,0.0008279084734977,0,0.0008279084734977,0.0008279084734977,63_64:0.04012315391716012;63_62:0.012156213425880857;63_56:0.0062958414788594486,63_64:68;63_62:68;63_56:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
64,95.22181302739196,94.58187685585628,0,0,0.0561,0.0606,0.0515999999999999,1560,0.0004495782373416,0,0.0004495782373416,0.0004495782373416,64_63:0.04012315391716012;64_65:0.0027868752153892007,64_63:68;64_65:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
65,62.79887098909336,57.57589243461033,0,0,0.0146999999999999,0.0211999999999999,0.0082,1560,0.0002959300802478,0,0.0002959300802478,0.0002959300802478,65_77:0.0036600111224780185;65_66:0.0026162392966903036;65_64:0.0027868752153892007,65_77:68;65_66:68;65_64:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
66,92.99743192181154,17.90638466419983,0,0,0.009,0.014,0.004,1560,0.0002918716978504,0,0.0002918716978504,0.0002918716978504,66_67:0.0033433042051797535;66_65:0.0026162392966903036,66_67:68;66_65:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
67,147.4075005023117,76.84098796803696,0,0,0.0527999999999999,0.0525999999999999,0.053,1560,0.0002452919337112,0,0.0002452919337112,0.0002452919337112,67_68:0.004036339981762338;67_66:0.0033433042051797535;67_57:0.007052689005567797,67_68:68;67_66:68;67_57:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
68,64.55075708826013,35.70214757070327,0,0,0.0601,0.0632,0.057,1560,0.0002649275119554,0,0.0002649275119554,0.0002649275119554,68_67:0.004036339981762338;68_69:0.002805128609589841,68_67:68;68_69:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
69,158.9219696513947,54.15582080939934,0,0,0.0285999999999999,0.0334,0.0238,1560,0.0002456580819613,0,0.0002456580819613,0.0002456580819613,69_78:0.0025529899430653535;69_70:0.004145725945781664;69_68:0.002805128609589841,69_78:68;69_70:68;69_68:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
70,73.69850568614324,74.21461745598313,0,0,0.0158,0.0226,0.009,1560,0.0002354697299826,0,0.0002354697299826,0.0002354697299826,70_71:0.0027557476884189913;70_69:0.004145725945781664,70_71:68;70_69:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
71,226.64519463795148,146.5346491847867,0,0,0.01,0.015,0.005,1560,0.0002332274786352,0,0.0002332274786352,0.0002332274786352,71_72:0.09484334161179027;71_70:0.0027557476884189913;71_58:0.0019826007853042393,71_72:68;71_70:68;71_58:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
72,110.77204459530968,86.45696993049891,0,0,0.0051000000000001,0.0076,0.0026,1560,0.0002463009016458,0,0.0002463009016458,0.0002463009016458,72_73:0.11501067945381664;72_71:0.09484334161179027,72_73:68;72_71:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
73,155.54678300356838,82.80144152200869,0,0,0.0099,0.0106,0.0092,1560,0.0002028246735024,0,0.0002028246735024,0.0002028246735024,73_72:0.11501067945381664;73_74:0.0020855417060934855;73_79:0.002127245915994058,73_72:68;73_74:68;73_79:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
74,94.31419774919236,90.66338451998598,0,0,0.0116,0.0145999999999999,0.0086,1560,0.0003149171344069,0,0.0003149171344069,0.0003149171344069,74_75:0.002886651772231019;74_73:0.0020855417060934855,74_75:68;74_73:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
75,208.9112732717523,95.429305815675,0,0,0.0064999999999999,0.0101999999999999,0.0028,1560,0.0002868701325954,0,0.0002868701325954,0.0002868701325954,75_74:0.002886651772231019;75_59:0.003918819374152477,75_74:68;75_59:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
76,97.62286689280369,68.57311770667943,0,0,0.009,0.0124,0.0056,1560,0.0006373011858277,0,0.0006373011858277,0.0006373011858277,76_81:0.0020897254725127934;76_61:0.002597011348695083,76_81:68;76_61:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
77,93.75445212832884,51.789093733817325,0,0,0.0346999999999999,0.0358,0.0335999999999999,1560,0.000309598212872,0,0.000309598212872,0.000309598212872,77_85:0.002875585783321033;77_65:0.0036600111224780185,77_85:68;77_65:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
78,70.62366734964004,96.2860739837352,0,0,0.0256,0.0324,0.0188,1560,0.0002439065235607,0,0.0002439065235607,0.0002439065235607,78_69:0.0025529899430653535;78_89:0.0038318508766966852,78_69:68;78_89:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
79,153.38748835869737,54.6322053770504,0,0,0.0178,0.021,0.0145999999999999,1560,0.0002459195675016,0,0.0002459195675016,0.0002459195675016,79_73:0.002127245915994058;79_93:0.004054282782401941,79_73:68;79_93:68,True,24.0,1560.0,0.0,24.0,24.0,1584.0
